日期;時間;濕度;溫度
2016-08-21;23:44:00;39;30
2016-08-21;23:46:00;31;29
2016-08-21;23:46:59;31;29
2016-08-21;23:48:00;31;29
2016-08-21;23:50:00;31;29
2016-08-21;23:50:59;31;29
2016-08-21;23:52:00;31;29
2016-08-21;23:54:00;31;29
2016-08-21;23:54:59;31;29
2016-08-21;23:56:00;31;29
2016-08-21;23:56:59;32;29
2016-08-21;23:58:00;34;29
2016-08-22;00:00:00;29;28
2016-08-22;00:02:00;28;28
2016-08-22;00:41:00;28;27
2016-08-22;00:43:00;28;26
2016-08-22;00:43:59;28;26
2016-08-22;00:45:00;28;26
2016-08-22;00:47:00;28;26
2016-08-22;00:49:00;28;26
2016-08-22;00:51:00;28;26
2016-08-22;00:51:59;28;25
2016-08-22;00:53:00;29;26
2016-08-22;00:55:00;28;26
2016-08-22;00:57:00;29;25
2016-08-22;00:59:00;28;27
2016-08-22;01:01:00;28;27
2016-08-22;01:02:00;28;26
2016-08-22;01:03:00;28;26
2016-08-22;01:04:00;28;26
2016-08-22;01:05:00;28;26
2016-08-22;01:06:00;28;26
2016-08-22;01:07:00;28;26
2016-08-22;01:08:00;29;26
2016-08-22;01:09:00;29;26
2016-08-22;01:10:00;29;26
2016-08-22;01:11:00;29;26
2016-08-22;01:12:00;29;26
2016-08-22;01:13:00;29;26
2016-08-22;01:14:00;29;26
2016-08-22;01:14:59;29;26
2016-08-22;01:16:00;29;26
2016-08-22;01:18:00;28;26
2016-08-22;01:20:00;28;26
2016-08-22;01:22:00;28;26
2016-08-22;01:22:59;28;26
2016-08-22;01:24:00;28;26
2016-08-22;01:26:00;28;26
2016-08-22;01:28:00;28;26
2016-08-22;01:30:00;28;25
2016-08-22;01:30:59;28;25
2016-08-22;01:32:00;28;26
2016-08-22;01:34:00;29;25
2016-08-22;01:36:00;29;25
2016-08-22;01:38:00;29;25
2016-08-22;01:38:59;29;25
2016-08-22;01:40:00;29;25
2016-08-22;01:42:00;29;26
2016-08-22;01:44:00;29;26
2016-08-22;09:49:0063;36
2016-08-22;09:52:00;63;44
2016-08-22;09:53:00;63;37
2016-08-22;09:55:00;59;41
2016-08-22;09:56:00;59;40
2016-08-22;09:58:00;59;35
2016-08-22;09:59:00;59;34
63;36
63;37
2016-08-22;10:03:00;63;37
2016-08-22;10:04:00;63;53
2016-08-22;10:05:00;63;52
2016-08-22;10:06:00;59;51
2016-08-22;10:07:00;59;42
2016-08-22;10:08:00;59;41
2016-08-22;10:10:00;63;47
2016-08-22;10:11:00;63;52
2016-08-22;10:12:00;59;48
2016-08-22;10:13:00;59;48
2016-08-22;10:18:00;58;32
2016-08-22;10:19:00;31;31
2016-08-22;10:20:00;31;31
2016-08-22;10:21:00;31;31
2016-08-22;10:22:00;31;31
2016-08-22;10:24:00;59;32
2016-08-22;10:25:00;59;32
2016-08-22;10:26:00;59;32
2016-08-22;10:27:00;59;32
//*****;******;******;*****;
2016-08-22;10:32:00;63;45
2016-08-22;10:33:00;31;31
2016-08-22;10:34:00;31;31
2016-08-22;10:38:00;31;31
2016-08-22;10:39:00;31;31
2016-08-22;10:40:00;31;31
2016-08-22;10:41:00;31;31
2016-08-22;10:42:00;31;31
2016-08-22;10:44:00;31;31
2016-08-22;10:45:00;31;31
2016-08-22;10:46:00;31;31
2016-08-22;10:47:00;31;31
2016-08-22;10:48:00;59;32
2016-08-22;10:49:00;31;31
2016-08-22;10:50:00;31;31
2016-08-22;10:51:00;31;31
2016-08-22;10:52:00;31;31
2016-08-22;10:53:00;31;31
2016-08-22;10:54:00;31;31
2016-08-22;10:55:00;31;31
