日期;時間;濕度;溫度
2016-08-24;23:40:00;0;63
2016-08-24;23:45:00;15;120
2016-08-24;23:50:00;17;120
2016-08-24;23:55:00;17;119
2016-08-25;00:00:00;19;120
2016-08-25;00:05:00;19;114
2016-08-25;00:10:00;21;110

2016-08-25;00:20:01;0;52
2016-08-25;00:25:00;28;41
2016-08-25;00:30:00;28;41
2016-08-25;00:35:00;28;41
2016-08-25;00:40:00;29;40
2016-08-25;00:45:00;0;117
2016-08-25;00:50:00;29;115
2016-08-25;00:55:00;18;42
2016-08-25;01:00:00;29;41
2016-08-25;01:05:00;29;39
2016-08-25;01:10:00;29;38
2016-08-25;01:15:01;29;38
2016-08-25;01:20:00;27;38
2016-08-25;01:25:00;29;38
2016-08-25;01:30:00;29;37
2016-08-25;01:35:00;29;37
2016-08-25;01:40:00;29;37
2016-08-25;01:45:00;29;39
2016-08-25;01:50:00;29;37
2016-08-25;01:55:00;29;37
2016-08-25;02:00:00;29;38
2016-08-25;02:05:00;29;37
2016-08-25;02:10:00;29;37
2016-08-25;02:15:00;29;37
2016-08-25;02:20:00;29;37
2016-08-25;02:25:00;29;37
2016-08-25;02:30:00;29;38
2016-08-25;02:35:00;30;37
2016-08-25;02:40:01;30;37
2016-08-25;02:45:00;29;37
2016-08-25;02:50:00;29;36
2016-08-25;02:55:00;28;37
2016-08-25;03:00:00;29;37
2016-08-25;03:05:00;33;45
2016-08-25;03:10:00;29;42
2016-08-25;03:15:00;29;41
2016-08-25;03:20:01;29;0
2016-08-25;03:25:00;29;41
2016-08-25;03:30:00;31;40
2016-08-25;03:35:00;29;40
2016-08-25;03:40:00;29;41
2016-08-25;03:45:00;29;41
2016-08-25;03:50:00;29;38
2016-08-25;03:55:00;31;42
2016-08-25;04:00:01;32;48
2016-08-25;04:05:00;29;51
2016-08-25;04:10:00;29;47
2016-08-25;04:15:00;29;47
2016-08-25;04:20:00;29;47
2016-08-25;04:25:00;34;46
2016-08-25;04:30:00;29;39
2016-08-25;04:35:00;29;43
2016-08-25;04:40:00;29;42
2016-08-25;04:45:00;31;41
2016-08-25;04:50:00;36;41
2016-08-25;04:55:00;29;42
2016-08-25;05:00:00;29;40
2016-08-25;05:05:00;29;40
2016-08-25;05:10:00;32;42
2016-08-25;05:15:00;36;42
2016-08-25;05:20:00;29;43
2016-08-25;05:25:01;29;39
2016-08-25;05:30:00;29;40
2016-08-25;05:35:00;34;40
2016-08-25;05:40:00;38;40
2016-08-25;05:45:00;29;41
2016-08-25;05:50:00;29;41
2016-08-25;05:55:00;30;42
2016-08-25;06:00:00;37;41

2016-08-25;06:10:00;32;43
2016-08-25;06:15:00;29;41
2016-08-25;06:20:00;30;41
2016-08-25;06:25:00;36;40
2016-08-25;06:30:00;35;40
2016-08-25;06:35:00;29;39
2016-08-25;06:40:00;29;40
2016-08-25;06:45:01;29;0
2016-08-25;06:50:00;32;41
2016-08-25;06:55:00;33;43
2016-08-25;07:00:00;29;79
2016-08-25;07:05:00;19;40
2016-08-25;07:10:00;32;40
2016-08-25;07:15:00;39;38
2016-08-25;07:20:00;32;37
2016-08-25;07:25:01;29;36
2016-08-25;07:30:00;29;36
2016-08-25;07:35:00;35;38
2016-08-25;07:40:00;40;38
2016-08-25;07:45:00;30;35
2016-08-25;07:50:00;29;35
2016-08-25;07:55:00;29;35
2016-08-25;08:00:00;29;35
2016-08-25;08:05:00;32;36
2016-08-25;08:10:00;39;36
2016-08-25;08:15:00;33;40
2016-08-25;08:20:00;29;37
2016-08-25;08:25:00;29;38
2016-08-25;08:30:00;29;39
2016-08-25;08:35:00;29;36
2016-08-25;08:40:00;38;36
2016-08-25;08:45:00;35;35
2016-08-25;08:50:01;30;35
2016-08-25;08:55:00;29;35
2016-08-25;09:00:00;29;36
2016-08-25;09:05:00;29;36
2016-08-25;09:10:00;31;36
2016-08-25;09:15:00;39;38
2016-08-25;09:20:00;32;35
2016-08-25;09:25:00;30;35

2016-08-25;09:35:00;29;35
2016-08-25;09:40:00;29;34
2016-08-25;09:45:00;29;34
2016-08-25;09:50:00;29;35
2016-08-25;09:55:00;36;35
2016-08-25;10:00:00;41;35
2016-08-25;10:05:00;32;35

2016-08-25;10:15:00;30;35
2016-08-25;10:20:00;29;35
2016-08-25;10:25:00;29;35
2016-08-25;10:30:00;29;35
2016-08-25;10:35:00;29;36
